text,severity_description
abbie,Mild
abeed,Strong
aboe,Mild
beaner,Severe
beaners,Severe
blacky,Strong
buttermilk,Mild
c00n,Severe
c00nies,Severe
ch1nk,Severe
chingchong,Severe
chink,Severe
chinky,Severe
cholo,Strong
coolie,Strong
coon,Severe
coon1es,Severe
cooni3s,Strong
coonie,Severe
coonies,Severe
coons,Severe
dago,Strong
darkass,Severe
darkie,Severe
darktard,Severe
darky,Severe
dothead,Severe
gook,Severe
greaser,Mild
groid,Strong
gyp,Strong
heeb,Strong
higg@,Severe
higg3r,Severe
higga,Severe
higger,Severe
higgers,Severe
injun,Strong
jap,Severe
jewboy,Severe
jigaboo,Strong
jigaboos,Severe
jigga,Strong
jiggaboo,Severe
jiggabooboo,Strong
jiggaboos,Severe
jiggabu,Severe
jiggas,Severe
jigger,Severe
jiggerboo,Severe
jiggerboos,Severe
jiggs,Severe
jiggyboo,Severe
jigro,Severe
k!k3,Severe
k!ke,Severe
k..!ke,Severe
k1k3,Severe
k1ke,Severe
kike,Severe
kikes,Severe
klan,Strong
kneegrows,Severe
knickers,Strong
kyke,Severe
m0ngoloid,Strong
mong,Strong
mongoloid,Strong
mongrel,Severe
n1ckker,Severe
n1g3r,Severe
n1g3rz,Severe
n1gg@,Severe
n1gg@hs,Severe
n1gg3r,Severe
n1gg3rs,Severe
n1gga,Strong
n1ggah,Severe
n1ggahs,Severe
n1ggas,Severe
n1ggazes,Severe
n1gger,Severe
n1ggers,Severe
n1gguh,Severe
n3gro,Strong
negga,Severe
neggar,Severe
negr0,Severe
negro,Strong
negroes,Severe
negroid,Severe
niccer,Severe
nicka,Severe
nickas,Severe
nicker,Severe
nickk3r,Severe
nickker,Severe
nig,Severe
nig-nog,Severe
niga,Severe
nigah,Severe
nigasses,Severe
nigers,Severe
nigg@,Severe
nigg@hs,Severe
nigg@s,Severe
nigg@z,Severe
nigg@zzes,Severe
nigg3r,Severe
nigg3rs,Severe
nigg4h,Severe
nigg4hs,Severe
nigga,Severe
niggah,Severe
niggahs,Strong
niggahz,Severe
niggas,Severe
niggass,Severe
niggaz,Strong
niggazzes,Severe
nigger,Severe
niggers,Severe
niggerz,Severe
niggir,Severe
niggress,Severe
nigguh,Severe
nigguhs,Severe
nigguhz,Severe
niglet,Severe
nignigs,Severe
nignog,Severe
nigra,Severe
nigre,Severe
nigs,Severe
niguh,Severe
nikk3r,Severe
nikkas,Severe
nikker,Severe
nuckas,Severe
nuggets,Mild
paki,Severe
raghead,Severe
ragheads,Severe
ragtard,Severe
redskin,Strong
sambo,Strong
sheister,Strong
shiester,Strong
shylock,Strong
sl@nteye,Severe
slantard,Severe
slanteye,Severe
slanteyes,Severe
slantfreak,Severe
slanty,Severe
spic,Severe
spick,Severe
spics,Severe
spig,Severe
spik,Severe
spix,Severe
spook,Severe
spooks,Severe
tacohead,Strong
tar-baby,Severe
towelhead,Severe
towelheads,Severe
towelshithead,Severe
we1back,Severe
wetback,Severe
wetbacks,Severe
wigger,Severe
wop,Strong
wophead,Strong
zipperhead,Strong
